Alimento,Quantita
Mele,150g (Quello che sta in una mano aperta)
Albicocche,150g (Quello che sta in una mano aperta)
Ananas,150g (Quello che sta in una mano aperta)
Banane,150g (Quello che sta in una mano aperta)
Fichi,150g (Quello che sta in una mano aperta)
Fragole,150g (Quello che sta in una mano aperta)
Kiwi,150g (Quello che sta in una mano aperta)
Mango,150g (Quello che sta in una mano aperta)
Melone estivo,150g (Quello che sta in una mano aperta)
Pere,150g (Quello che sta in una mano aperta)
Pesche,150g (Quello che sta in una mano aperta)
Prugne,150g (Quello che sta in una mano aperta)
Uva,150g (Quello che sta in una mano aperta)
